,Acc_X,Acc_Y,Acc_Z
2.32,8.340257,-7.640879,-3.508554
2.33,8.158538,-7.492567,-3.581546
2.34,7.710412,-7.663173,-3.871396
2.35,7.143448,-8.061087,-4.229942
2.36,6.47116,-8.79966,-4.505016
2.37,6.016911,-9.42133,-4.32581
2.38,5.452351,-10.071375,-4.130042
2.39,5.069878,-10.358532,-3.537966
2.4,4.754168,-10.606257,-3.156767
2.41,4.48651,-10.703528,-2.586854
2.42,4.219992,-10.600362,-2.098407
2.43,3.684272,-11.008855,-2.494136
2.44,2.861589,-11.304777,-2.670502
2.45,1.772233,-11.740927,-3.294545
2.46,0.698863,-12.184112,-3.411096
2.47,-0.022296,-12.242142,-3.18736
2.48,-0.381968,-12.301169,-3.211933
2.49,-0.470607,-12.0654,-2.703387
2.5,-0.732999,-12.059203,-2.572598
2.51,-1.147894,-12.053898,-2.303281
2.52,-1.64513,-11.703603,-1.922358
2.53,-2.314841,-11.704807,-1.897893
2.54,-3.096098,-11.934767,-1.85405
2.55,-3.378339,-12.181243,-2.060982
2.56,-3.402572,-12.481778,-2.172608
2.57,-3.158825,-12.535389,-1.898029
2.58,-3.114539,-12.560847,-1.901569
2.59,-3.156495,-12.289851,-1.522869
2.6,-3.496207,-11.900092,-1.200695
2.61,-3.780089,-11.680491,-1.267398
2.62,-3.858843,-11.472552,-1.326145
2.63,-3.838386,-11.498321,-1.554329
2.64,-3.842795,-10.991958,-1.44028
2.65,-4.093436,-10.185346,-1.581205
2.66,-4.196941,-9.585145,-1.485766
2.67,-4.050321,-9.057022,-1.20371
2.68,-4.213323,-8.75521,-1.075343
2.69,-4.5803,-8.889111,-1.008452
2.7,-4.740049,-8.812554,-0.748704
2.71,-4.730888,-8.37435,-0.370753
2.72,-4.814361,-7.785972,-0.145922
2.73,-4.971816,-7.200526,0.309604
2.74,-5.222121,-7.075763,0.444028
2.75,-5.487347,-7.08786,0.612336
2.76,-5.746376,-7.294283,0.58358
2.77,-5.994326,-7.439328,0.474427
2.78,-5.779948,-7.236298,0.79595
2.79,-5.786647,-6.953734,1.127216
2.8,-5.884082,-6.496224,1.276126
2.81,-6.055382,-5.819802,1.3009
2.82,-6.295981,-5.26706,1.663846
2.83,-6.379288,-5.081482,1.813535
2.84,-6.271774,-5.097847,1.909197
2.85,-6.096224,-5.100035,2.184306
2.86,-6.093944,-4.924232,2.19172
2.87,-6.021192,-4.570036,2.44201
2.88,-5.931399,-4.18747,2.535579
2.89,-6.001788,-3.791379,2.543218
2.9,-6.163729,-3.471114,2.656532
2.91,-6.27728,-3.161892,2.864625
2.92,-6.330932,-2.996841,3.104388
2.93,-6.225381,-2.884205,3.299684
2.94,-6.027085,-2.758222,3.471868
2.95,-5.876669,-2.633019,3.619532
2.96,-5.865783,-2.506097,3.695342
2.97,-5.966891,-2.524207,3.683046
2.98,-6.156994,-2.59396,3.951787
2.99,-6.165856,-2.661719,4.092015
3,-6.160393,-2.378497,4.257068
3.01,-6.096504,-1.85182,4.423613
3.02,-6.016232,-1.451154,4.391431
3.03,-5.953671,-1.146415,4.456178
3.04,-6.014017,-0.965627,4.699388
3.05,-6.090746,-0.97499,4.879356
3.06,-6.128835,-0.855235,5.196826
3.07,-6.058788,-0.673902,5.366349
3.08,-5.98863,-0.384115,5.419519
3.09,-5.969573,0.026263,5.343896
3.1,-6.076626,0.468746,5.281895
3.11,-6.05376,0.800136,5.380869
3.12,-6.037547,0.760179,5.484776
3.13,-5.895529,0.530925,5.712949
3.14,-5.859282,0.150767,5.875861
3.15,-5.85796,-0.218071,5.781127
3.16,-5.917923,-0.30394,5.733825
3.17,-5.874907,-0.163712,5.874826
3.18,-5.728088,0.094203,5.840744
3.19,-5.650519,0.378505,5.867737
3.2,-5.575722,0.686834,5.908661
3.21,-5.543415,0.902447,6.001724
3.22,-5.500816,0.943711,6.029387
3.23,-5.462237,1.007985,6.162027
3.24,-5.39583,0.966064,6.193502
3.25,-5.327343,1.019554,6.223929
3.26,-5.239973,1.124284,6.071185
3.27,-5.207979,1.326187,5.999423
3.28,-5.169831,1.439727,6.043637
3.29,-4.983088,1.387635,5.960123
3.3,-4.782812,1.284579,5.780896
3.31,-4.671945,1.214829,5.741906
3.32,-4.782093,1.093191,5.671515
3.33,-4.947596,0.799851,5.669162
3.34,-5.010692,0.480231,5.639458
3.35,-5.146116,0.263094,5.676819
3.36,-5.229627,0.149853,5.566652
3.37,-5.248851,0.031582,5.493317
3.38,-5.181279,0.00518,5.39231
3.39,-5.215495,-0.016859,5.340942
3.4,-5.285401,-0.05728,5.237021
3.41,-5.447054,-0.129977,5.191172
3.42,-5.559583,-0.346809,5.254064
3.43,-5.560462,-0.679854,5.189423
3.44,-5.61863,-1.041531,5.222007
3.45,-5.627671,-1.472764,5.186902
3.46,-5.692546,-1.711923,4.985066
3.47,-5.79382,-2.005616,4.708109
3.48,-5.976642,-2.256706,4.342641
3.49,-6.2503,-2.520999,4.034945
3.5,-6.581558,-2.744048,3.815267
3.51,-6.7886,-2.973535,3.682889
3.52,-6.822478,-3.235629,3.688498
3.53,-6.648719,-3.546247,3.70286
3.54,-6.392712,-3.680208,3.48049
3.55,-6.095966,-3.746742,3.169687
3.56,-6.152643,-3.687115,2.697945
3.57,-6.688506,-3.87819,2.567714
3.58,-7.454149,-4.222594,2.395651
3.59,-7.793681,-4.565357,2.371855
3.6,-7.685086,-4.831328,2.228029
3.61,-7.29472,-4.739656,2.035651
3.62,-6.779127,-4.515039,1.799224
3.63,-6.309049,-4.393865,1.450105
3.64,-6.393066,-4.451154,1.276391
3.65,-7.270393,-4.986337,1.238034
3.66,-8.105278,-5.571161,0.853848
3.67,-8.164631,-6.058772,0.354976
3.68,-7.925929,-6.303492,0.023072
3.69,-7.637771,-6.118233,-0.267905
3.7,-7.349668,-5.729094,-0.459339
3.71,-6.909089,-5.69367,0.067785
3.72,-6.073782,-6.265365,0.380645
3.73,-5.696518,-6.701984,0.125167
3.74,-5.796722,-6.842597,-0.219084
3.75,-5.806312,-6.871784,-0.453253
3.76,-5.880032,-6.834653,-1.381827
3.77,-6.167152,-6.812053,-2.428175
3.78,-6.30468,-6.890978,-2.965401
3.79,-6.173395,-7.189075,-3.000515
3.8,-6.271486,-7.891304,-3.460798
3.81,-6.468525,-8.460137,-3.463378
3.82,-6.190122,-8.609887,-3.151676
3.83,-6.117279,-8.492315,-3.15964
3.84,-6.33733,-8.388241,-3.29469
3.85,-6.260313,-8.568856,-3.303823
3.86,-6.067777,-9.095691,-3.388637
3.87,-6.230696,-10.187109,-4.051635
3.88,-6.31751,-10.948256,-4.037437
3.89,-6.107543,-11.222446,-3.741786
3.9,-6.261533,-10.893981,-3.300802
3.91,-6.4993,-10.148346,-3.206186
3.92,-6.351708,-9.535253,-3.01445
3.93,-6.053314,-9.416017,-3.309719
3.94,-5.638092,-9.58329,-3.619084
3.95,-4.8821,-10.070405,-3.7746
3.96,-4.531754,-10.561835,-4.041312
3.97,-4.173663,-10.540216,-3.732585
3.98,-3.709976,-10.152024,-3.627251
3.99,-3.586433,-9.666546,-3.818571
4,-3.2513,-9.287024,-3.764269
4.01,-3.000417,-9.437284,-4.026926
4.02,-2.865092,-9.922833,-4.650038
4.03,-2.407592,-10.382411,-5.261614
4.04,-1.970588,-10.792618,-5.759595
4.05,-1.452441,-11.045368,-5.806285
4.06,-1.231034,-11.118911,-5.56089
4.07,-1.358378,-10.615353,-5.352724
4.08,-1.504171,-9.707848,-4.946626
4.09,-1.276513,-8.703261,-4.431698
4.1,-0.757383,-8.123899,-4.349137
4.11,-0.05479,-8.361458,-4.280949
4.12,0.632827,-9.415045,-4.316962
4.13,0.893285,-10.50085,-4.64229
4.14,0.776915,-10.899016,-4.787573
4.15,0.547506,-10.135639,-4.923137
4.16,0.758702,-8.783893,-4.688972
4.17,1.238649,-7.448305,-4.168881
4.18,1.991938,-6.674278,-3.484252
4.19,2.5287,-6.957483,-3.105064
4.2,2.852114,-7.912099,-3.331343
4.21,3.144254,-8.847167,-3.720613
4.22,3.324368,-9.40969,-4.190607
4.23,3.860414,-9.592883,-4.151257
4.24,4.521422,-9.593464,-4.085337
4.25,5.007889,-9.458346,-3.993093
4.26,5.298464,-9.005082,-3.675332
4.27,5.480182,-8.522923,-3.539974
4.28,5.659872,-8.041385,-3.555461
4.29,5.812557,-7.909198,-3.541911
4.3,5.842588,-7.60669,-3.596872
4.31,5.850882,-6.975006,-3.5499
4.32,6.197366,-6.743333,-3.246966
4.33,6.617218,-7.075324,-2.985148
4.34,6.819104,-7.862788,-2.883562
4.35,6.806885,-8.475075,-2.719433
4.36,6.703785,-8.595007,-2.737453
4.37,6.69443,-8.348002,-2.820906
4.38,6.690065,-7.948839,-2.971595
